Ð¡ÇøID,TCHÆµµãÐòºÅ
CellID,Freq
9152,49
9152,34
9152,20
9152,89
9152,17
9152,11
9152,36
9152,77
9242,50
9242,18
9242,34
9242,11
9242,45
9462,62
9462,59
9462,7
9462,53
9462,30
9462,14
9033,8
9033,16
9033,65
9033,48
9033,32
9113,55
9113,4
9113,28
9141,93
9141,91
9141,38
9141,78
9141,22
9141,55
9141,8
9272,2
9272,48
9272,35
9272,20
9272,22
9271,59
9271,75
9271,40
9271,69
9271,70
9273,14
9273,46
9273,10
9273,30
9273,51
9523,18
9523,34
9523,45
9063,13
9063,56
9063,29
9062,44
9062,39
9062,23
9062,4
9073,56
9073,94
9073,32
9073,10
9073,75
9193,2
9193,55
9193,34
9193,18
9193,4
9191,50
9191,28
9191,12
9191,87
9191,6
9021,11
9021,55
9021,79
9021,87
9021,26
9022,69
9022,32
9022,16
9022,4
9022,7
9293,57
9293,68
9293,31
9293,27
9293,15
9012,8
9012,39
9012,21
9012,61
9012,52
9011,26
9011,58
9011,2
9011,35
9011,42
9123,53
9123,42
9123,26
9153,41
9153,9
9153,25
9153,29
9153,54
9153,2
9241,4
9241,56
9241,63
9241,39
9241,1
9241,23
9241,79
9553,26
9553,58
9553,42
9121,17
9121,33
9121,63
9121,56
9121,85
9122,77
9122,46
9122,40
9122,24
9122,10
9133,73
9133,37
9133,3
9133,21
9133,44
9034,10
9034,12
9034,46
9034,59
9034,30
9034,14
9463,55
9463,64
9463,46
9463,35
9463,19
9463,67
9032,53
9032,37
9032,2
9032,21
9032,85
9031,24
9031,91
9031,40
9031,27
9061,58
9061,85
9061,42
9061,87
9061,16
9061,63
9111,9
9111,92
9111,38
9111,22
9111,52
9112,11
9112,50
9112,6
9112,33
9112,17
9243,29
9243,13
9243,8
9243,27
9243,81
9243,43
9243,53
9243,25
9023,36
9023,9
9023,23
9023,53
9023,18
9143,87
9143,41
9143,73
9143,48
9143,33
9142,46
9142,5
9142,43
9142,28
9142,12
9551,53
9551,36
9551,20
9552,50
9552,1
9552,18
9071,7
9071,13
9071,42
9071,53
9071,26
9072,50
9072,37
9072,86
9072,21
9072,3
9261,48
9261,9
9261,83
9261,20
9261,89
9262,58
9262,38
9262,42
9262,45
9262,6
9151,91
9151,31
9151,51
9151,15
9151,57
9151,6
9151,83
9292,21
9292,55
9292,37
9291,47
9291,83
9291,43
9291,3
9291,19
9372,57
9372,28
9372,12
9371,38
9371,47
9371,22
9373,45
9373,33
9373,54
9013,5
9013,88
9013,55
9013,32
9013,16
9192,70
9192,57
9192,45
9192,76
9192,43
9192,81
9461,44
9461,40
9461,24
9461,83
9461,57
9461,27
9461,89
9131,39
9131,8
9131,48
9131,71
9131,23
9132,5
9132,28
9132,12
9132,59
9132,52
9263,3
9263,1
9263,13
9263,27
9263,54
9074,58
9074,47
9074,34
9074,69
9074,18
9521,31
9521,6
9521,55
9521,15
9521,93
9522,48
9522,65
9522,67
9522,69
9522,59
9162,64
9162,79
9162,87
9161,77
9161,71
9161,46
9212,54
9212,41
9212,25
9211,44
9211,59
9211,30
9211,14
9052,33
9052,27
9052,7
9052,57
9051,19
9051,12
9051,49
9051,29
9051,3
9041,93
9041,59
9041,91
9041,67
9041,87
9332,53
9332,3
9331,12
9331,47
9331,27
9333,1
9333,34
9221,44
9221,40
9221,24
9222,49
9222,33
9222,19
9222,17
9222,7
9342,48
9342,1
9343,43
9343,35
9341,40
9341,58
9101,46
9101,5
9102,51
9102,89
9102,93
9102,56
9363,56
9363,37
9053,41
9053,25
9053,10
9053,21
9053,54
9411,31
9411,15
9411,47
9412,56
9412,43
9412,25
9203,31
9203,15
9203,19
9201,37
9201,21
9201,10
9202,73
9202,17
9202,33
9231,8
9231,23
9231,52
9233,14
9233,5
9233,54
9232,58
9232,32
9232,85
9321,23
9321,52
9321,39
9323,50
9323,30
9323,14
9322,8
9322,5
9322,34
9213,32
9213,16
9213,57
9392,54
9392,29
9392,61
9391,10
9391,42
9391,7
9393,52
9393,39
9393,49
9543,29
9543,49
9543,20
9163,51
9163,38
9362,35
9362,2
9361,48
9361,59
9572,47
9571,44
9571,29
9573,57
9573,87
9443,47
9443,40
9443,24
9441,53
9042,13
9042,5
9042,40
9042,24
9042,57
9043,55
9043,42
9043,7
9043,26
9043,20
9223,51
9223,37
9223,21
9223,11
9382,63
9382,22
9382,52
9382,38
9381,46
9381,30
9381,13
9103,19
9103,37
9103,49
9413,33
9413,28
9413,35
9402,74
9401,49
9403,45
9501,73
9501,65
9501,75
9503,49
9503,5
9502,44
9502,42
9542,34
9542,71
9542,51
9541,47
9541,39
9541,1
9541,23
9541,15
9452,56
9451,45
9453,51
9172,45
9172,38
9172,22
9171,58
9171,8
9171,29
9173,47
9173,24
9173,40
9313,25
9313,1
9313,41
9311,4
9312,55
9312,37
9312,21
9383,48
9383,35
9383,27
9383,9
9383,19
