小区ID,天线高度,天线半功率角,天线最大衰减,天线增益,天线下倾角,天线发射功率,移动台接受功率
CellID,AntennaHigh,HalfPAngle,MaxAttenuation,Gain,AntTilt,Pt,MsPwr
9011,100,13,30,13,9,5,-80
9012,100,13,30,13,9,5,-80
9013,100,13,30,13,9,5,-80
9021,100,13,30,13,9,5,-80
9022,100,13,30,13,9,5,-80
9023,100,13,30,13,9,5,-80
9031,100,13,30,13,9,5,-80
9032,100,13,30,13,9,5,-80
9033,100,13,30,13,9,5,-80
9034,100,13,30,13,9,5,-80
9041,100,13,30,13,9,5,-80
9042,100,13,30,13,9,5,-80
9043,100,13,30,13,9,5,-80
9051,100,13,30,13,9,5,-80
9052,100,13,30,13,9,5,-80
9053,100,13,30,13,9,5,-80
9061,100,13,30,13,9,5,-80
9062,100,13,30,13,9,5,-80
9063,100,13,30,13,9,5,-80
9071,100,13,30,13,9,5,-80
9072,100,13,30,13,9,5,-80
9073,100,13,30,13,9,5,-80
9074,100,13,30,13,9,5,-80
9101,100,13,30,13,9,5,-80
9102,100,13,30,13,9,5,-80
9103,100,13,30,13,9,5,-80
9111,100,13,30,13,9,5,-80
9112,100,13,30,13,9,5,-80
9113,100,13,30,13,9,5,-80
9121,100,13,30,13,9,5,-80
9122,100,13,30,13,9,5,-80
9123,100,13,30,13,9,5,-80
9131,100,13,30,13,9,5,-80
9132,100,13,30,13,9,5,-80
9133,100,13,30,13,9,5,-80
9141,100,13,30,13,9,5,-80
9142,100,13,30,13,9,5,-80
9143,100,13,30,13,9,5,-80
9151,100,13,30,13,9,5,-80
9152,100,13,30,13,9,5,-80
9153,100,13,30,13,9,5,-80
9161,100,13,30,13,9,5,-80
9162,100,13,30,13,9,5,-80
9163,100,13,30,13,9,5,-80
9171,100,13,30,13,9,5,-80
9172,100,13,30,13,9,5,-80
9173,100,13,30,13,9,5,-80
9191,100,13,30,13,9,5,-80
9192,100,13,30,13,9,5,-80
9193,100,13,30,13,9,5,-80
9201,100,13,30,13,9,5,-80
9202,100,13,30,13,9,5,-80
9203,100,13,30,13,9,5,-80
9211,100,13,30,13,9,5,-80
9212,100,13,30,13,9,5,-80
9213,100,13,30,13,9,5,-80
9221,100,13,30,13,9,5,-80
9222,100,13,30,13,9,5,-80
9223,30,12,30,9,9,3,-88
9231,30,12,30,9,9,3,-88
9232,30,12,30,9,9,3,-88
9233,30,12,30,9,9,3,-88
9241,30,12,30,9,9,3,-88
9242,30,12,30,9,9,3,-88
9243,30,12,30,9,9,3,-88
9261,30,12,30,9,9,3,-88
9262,30,12,30,9,9,3,-88
9263,30,12,30,9,9,3,-88
9271,30,12,30,9,9,3,-88
9272,30,12,30,9,9,3,-88
9273,30,12,30,9,9,3,-88
9291,30,12,30,9,9,3,-88
9292,30,12,30,9,9,3,-88
9293,30,12,30,9,9,3,-88
9311,30,12,30,9,9,3,-88
9312,30,12,30,9,9,3,-88
9313,30,12,30,9,9,3,-88
9321,30,12,30,9,9,3,-88
9322,30,12,30,9,9,3,-88
9323,30,12,30,9,9,3,-88
9331,30,12,30,9,9,3,-88
9332,30,12,30,9,9,3,-88
9333,30,12,30,9,9,3,-88
9341,30,12,30,9,9,3,-88
9342,30,12,30,9,9,3,-88
9343,30,12,30,9,9,3,-88
9361,30,12,30,9,9,3,-88
9362,30,12,30,9,9,3,-88
9363,30,12,30,9,9,3,-88
9371,30,12,30,9,9,3,-88
9372,30,12,30,9,9,3,-88
9373,30,12,30,9,9,3,-88
9381,30,12,30,9,9,3,-88
9382,30,12,30,9,9,3,-88
9383,30,12,30,9,9,3,-88
9391,30,12,30,9,9,3,-88
9392,30,12,30,9,9,3,-88
9393,30,12,30,9,9,3,-88
9401,30,12,30,9,9,3,-88
9402,30,12,30,9,9,3,-88
9403,30,12,30,9,9,3,-88
9411,30,12,30,9,9,3,-88
9412,30,12,30,9,9,3,-88
9413,30,12,30,9,9,3,-88
9441,30,12,30,9,9,3,-88
9443,30,12,30,9,9,3,-88
9451,30,12,30,9,9,3,-88
9452,30,12,30,9,9,3,-88
9453,30,12,30,9,9,3,-88
9461,30,12,30,9,9,3,-88
9462,30,12,30,9,9,3,-88
9463,30,12,30,9,9,3,-88
9501,30,12,30,9,9,3,-88
9502,30,12,30,9,9,3,-88
9503,30,12,30,9,9,3,-88
9521,30,12,30,9,9,3,-88
9522,30,12,30,9,9,3,-88
9523,30,12,30,9,9,3,-88
9541,30,12,30,9,9,3,-88
9542,30,12,30,9,9,3,-88
9543,30,12,30,9,9,3,-88
9551,30,12,30,9,9,3,-88
9552,30,12,30,9,9,3,-88
9553,30,12,30,9,9,3,-88
9571,30,12,30,9,9,3,-88
9572,30,12,30,9,9,3,-88
9573,30,12,30,9,9,3,-88
